TAGS,design,ux,ui,dev,graphic,frontend,pm,web,research,id,lead,manage,package,model,git,excel,arduino,ios,video,xcode,sketch,ps,illustrator,balsamiq,html,xml,js,css,sass,swift,php,cpp,java,sql,framer,origami,cad,autocad,rhino,inventor,c4d,ae
Design,x,,,,,,,,,,,,,,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,
user experience,x,x,,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,
UX,x,x,,,,,x,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,
user interface,x,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
UI,x,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,
Interaction,x,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,,,,,,
experience,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engineer,x,,,x,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
product manager,,,,,,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,
product management,,,,,,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,
design process,x,x,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interaction,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphic,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visual communications,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
industrial,x,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCI,x,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human computer interaction,x,x,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,,,,x,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
computer science,,,,x,,x,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
development,,,,x,,x,,x,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
developer,,,,x,,x,,x,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
User centred design,x,x,x,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,x,x,x,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cognitive ergonomics,x,x,x,x,,x,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ergonomics,x,,,,,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
design sense,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leadership,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
communication,x,,,,x,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
teamwork,x,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rapid prototyping,,,,,,,,,,,,,,,,,x,,,,x,,,x,x,,x,x,,,,,,,x,x,x,,,,,
