TAGS,design,ux,ui,dev,graphic,frontend,pm,web,id,lead,manage,team,package,model,elec,mech,research,wireframe,prototype,sketch,ps,ai,balsamiq,framer,origami,indesign,arduino,html,css,js,jquery,coffeescript,ios,xcode,swift,php,cpp,java,android,git,excel,sql,cad,autocad,fusion,inventor,rhino,video,c4d,max,ae,fcx,premiere
Design,x,,,,,,,,,,,,,,,,,x,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user experience,x,x,,,,,x,,,,,,,,,,x,x,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UX,x,x,,,,,x,,,,,,,,,,x,x,x,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user interface,x,,x,,,,,,,,,,,,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UI,x,,x,,,,,,,,,,,,,,,x,x,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interaction,x,x,x,,,,,,,,,,,,,,,x,x,x,,,,x,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
experience,x,x,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product,x,x,,,,,x,,,,,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
engineer,x,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,
product manager,,,,,,,x,,,x,x,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
product management,,,,,,,x,,,x,x,x,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,
design process,x,x,x,,,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interaction,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
graphic,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
visual communications,x,,x,,x,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
industrial,x,,,,,,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,
HCI,x,x,x,x,,x,,,,,,,,,,,x,x,x,x,,,,x,x,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,
Human computer interaction,x,x,x,x,,x,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,x,x,x,,x,,,,,,,,,,,,,
computer science,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,x,x,x,,x,x,x,x,x,,x,,,,,,,,,,,,,
development,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,
developer,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,
develop,,,,x,,x,,x,,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,x,x,x,x,x,,x,,,,,,,,,,,,,
User centred design,x,x,x,,,x,x,,,x,x,,,,,,x,x,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCD,x,x,x,,,x,x,,,x,x,,,,,,x,x,x,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
